source_dataset,source_group,split
anime256,106675,train
anime256,106680,validation
anime256,106692,train
anime256,106696,test
anime256,106698,train
anime256,106725,train
anime256,10673,train
anime256,106738,train
anime256,106741,test
anime256,106748,train
anime256,10675,train
anime256,106769,train
anime256,106770,train
anime256,106775,train
anime256,106778,train
anime256,106783,train
anime256,10680,train
anime256,106815,train
anime256,106820,train
anime256,106821,validation
anime256,106822,test
anime256,106826,test
anime256,106828,train
anime256,106829,train
anime256,10685,test
anime256,106856,train
anime256,106858,train
anime256,106890,train
anime256,106891,train
anime256,106915,train
anime256,106929,train
anime256,106940,train
anime256,106946,train
anime256,106951,train
anime256,106961,train
anime256,106964,train
anime256,106967,train
anime256,106969,test
anime256,10697,validation
anime256,10699,train
anime256,10713,test
anime256,10714,test
anime256,10715,train
anime256,10718,validation
anime256,10720,train
anime256,10728,test
anime256,10729,train
anime256,10731,train
anime256,10735,train
anime256,10737,train
anime256,10738,train
anime256,10742,train
anime256,10743,train
anime256,10744,test
anime256,10745,train
anime256,10749,train
anime256,10752,train
anime256,10754,train
anime256,10755,train
anime256,10759,train
anime256,10760,validation
anime256,10765,train
anime256,10768,train
anime256,10772,validation
anime256,10773,train
anime256,10774,validation
anime256,10777,train
anime256,10778,train
anime256,10781,train
anime256,10782,train
anime256,10789,train
anime256,10798,validation
anime256,10799,validation
anime256,10801,train
anime256,10804,train
anime256,10807,train
anime256,10808,train
anime256,10820,train
anime256,10824,validation
anime256,10827,validation
anime256,10828,test
anime256,10830,validation
anime256,10834,train
anime256,10839,train
anime256,10840,test
anime256,10842,train
anime256,10846,train
anime256,10850,validation
anime256,10853,test
anime256,10854,train
anime256,10856,validation
anime256,10858,test
anime256,10860,train
anime256,10867,train
anime256,10869,test
anime256,10871,validation
anime256,10876,train
anime256,10878,validation
anime256,10879,train
anime256,10880,train
anime256,10881,train
anime256,10890,validation
anime256,10896,test
anime256,10897,train
anime256,10903,train
anime256,10908,test
anime256,10910,train
anime256,10912,validation
anime256,10917,train
anime256,10921,train
anime256,10926,train
anime256,109290,train
anime256,109295,train
anime256,109302,train
anime256,10931,train
anime256,109313,train
anime256,109318,train
anime256,10933,train
anime256,109339,test
anime256,10934,train
anime256,109340,validation
anime256,109352,validation
anime256,109354,test
anime256,109357,test
anime256,109361,validation
anime256,10942,train
anime256,109426,train
anime256,109435,train
anime256,10944,train
anime256,109449,train
anime256,109451,validation
anime256,109454,validation
anime256,10946,validation
anime256,109462,train
anime256,109469,train
anime256,10947,validation
anime256,109470,train
anime256,10948,train
anime256,109482,train
anime256,109495,train
anime256,109496,train
anime256,109497,train
anime256,109499,train
anime256,10950,validation
anime256,109509,train
anime256,109517,test
anime256,109528,train
anime256,10953,train
anime256,109530,train
anime256,109534,validation
anime256,109537,validation
anime256,109556,test
anime256,10956,train
anime256,10958,validation
anime256,109580,train
anime256,109589,test
anime256,10959,test
anime256,109595,test
anime256,109597,train
anime256,10960,test
anime256,109608,train
anime256,109613,train
anime256,10962,train
anime256,109620,validation
anime256,109634,train
anime256,109645,train
anime256,109646,train
anime256,109647,train
anime256,109649,train
anime256,109663,train
anime256,109675,test
anime256,109677,validation
anime256,10968,train
anime256,109686,train
anime256,10969,train
anime256,109690,train
anime256,109695,train
anime256,109696,train
anime256,109698,train
anime256,109699,train
anime256,10970,train
anime256,10971,train
anime256,109716,test
anime256,109717,train
anime256,109723,validation
anime256,109724,train
anime256,109730,test
anime256,10974,test
anime256,109740,train
anime256,10975,train
anime256,10976,train
anime256,109763,train
anime256,109764,validation
anime256,109766,train
anime256,109775,validation
anime256,109778,train
anime256,109781,train
anime256,109783,train
anime256,109788,train
anime256,10979,train
anime256,109796,train
anime256,109799,train
anime256,10980,test
anime256,109803,train
anime256,10981,train
anime256,109810,train
anime256,109818,train
anime256,10982,train
anime256,109828,train
anime256,10983,train
anime256,109838,train
anime256,109843,train
anime256,109864,validation
anime256,10987,train
anime256,109879,train
anime256,109887,train
anime256,10989,test
anime256,109892,validation
anime256,109894,train
anime256,109902,test
anime256,109907,train
anime256,10991,test
anime256,109910,train
anime256,109912,train
anime256,109922,validation
anime256,109927,test
anime256,109933,test
anime256,109934,train
anime256,109938,train
anime256,109948,train
anime256,109959,train
anime256,10996,train
anime256,10997,train
anime256,109970,test
anime256,109974,validation
anime256,109975,train
anime256,109977,train
anime256,109984,train
anime256,109990,test
anime256,109994,train
anime256,11000,train
anime256,110002,train
anime256,110015,train
anime256,11003,train
anime256,110034,train
anime256,110046,train
anime256,110064,train
anime256,11007,test
anime256,110070,train
anime256,110075,train
anime256,11008,train
anime256,110083,train
anime256,110086,train
anime256,11009,train
anime256,110094,train
anime256,110102,validation
anime256,110103,train
anime256,110104,train
anime256,110105,train
anime256,11011,train
anime256,110110,train
anime256,110117,test
anime256,11013,train
anime256,110139,train
anime256,110144,train
anime256,110146,train
anime256,110148,train
anime256,110149,train
anime256,110151,test
anime256,110153,train
anime256,110160,train
anime256,110161,train
anime256,110162,train
anime256,110169,train
anime256,110199,train
anime256,110200,test
anime256,110203,test
anime256,110206,train
anime256,110210,train
anime256,110218,test
anime256,110219,test
anime256,11022,train
anime256,110236,train
anime256,110237,train
anime256,110238,train
anime256,11024,test
anime256,110241,train
anime256,110247,train
anime256,110251,train
anime256,110258,test
anime256,110259,test
anime256,110260,test
anime256,110266,train
anime256,110279,train
anime256,11028,train
anime256,110288,train
anime256,11029,train
anime256,110290,train
anime256,110303,train
anime256,11034,train
anime256,11035,train
anime256,11043,train
anime256,11046,train
anime256,11055,train
anime256,11063,train
anime256,11066,train
anime256,11073,train
anime256,11074,train
anime256,11085,train
anime256,11089,validation
anime256,11095,train
anime256,11102,train
anime256,11106,test
anime256,11111,train
anime256,11117,train
anime256,11120,test
anime256,11125,test
anime256,11126,train
anime256,11128,train
anime256,11130,train
anime256,11133,train
anime256,11147,train
anime256,11148,train
anime256,11151,train
anime256,11153,train
anime256,11158,train
anime256,112703,train
anime256,112706,train
anime256,112708,train
anime256,112727,train
anime256,112745,train
anime256,112746,train
anime256,112766,validation
anime256,112767,test
anime256,112769,train
anime256,112771,train
anime256,112775,train
anime256,112778,train
anime256,112779,train
anime256,112780,train
anime256,112783,train
anime256,112807,train
anime256,112808,train
anime256,112810,train
anime256,112819,test
anime256,112833,test
anime256,112842,train
anime256,112860,train
anime256,112861,train
anime256,112862,train
anime256,112864,validation
anime256,112897,train
anime256,112899,test
anime256,112920,train
anime256,112921,train
anime256,112938,train
anime256,112943,train
anime256,112945,test
anime256,112950,train
anime256,112951,train
anime256,112960,train
anime256,112962,train
anime256,112964,train
anime256,112967,train
anime256,112968,train
anime256,112994,train
anime256,113004,test
anime256,113007,test
anime256,113009,train
anime256,113025,train
anime256,113032,train
anime256,113037,train
anime256,113044,train
anime256,113045,train
anime256,113046,train
anime256,113047,train
anime256,113048,train
anime256,113051,train
anime256,113056,train
anime256,113062,validation
anime256,113067,validation
anime256,113073,train
anime256,113078,validation
anime256,113085,test
anime256,113095,train
anime256,113097,train
anime256,113099,train
anime256,113109,validation
anime256,113111,train
anime256,113112,train
anime256,113115,test
anime256,113116,train
anime256,113120,test
anime256,113122,train
anime256,113128,train
anime256,113144,train
anime256,113147,train
anime256,113148,train
anime256,113162,train
anime256,113164,train
anime256,113182,train
anime256,113219,train
anime256,113223,test
anime256,113228,train
anime256,113253,train
anime256,113257,train
anime256,113258,train
anime256,113259,test
anime256,113263,train
anime256,113264,train
anime256,113267,train
anime256,113279,validation
anime256,113287,train
anime256,113288,test
anime256,113295,train
anime256,113298,train
anime256,113300,train
anime256,113315,test
anime256,113318,train
anime256,113319,test
anime256,113320,train
anime256,113321,train
anime256,113326,validation
anime256,113334,test
anime256,113336,train
anime256,113344,train
anime256,113347,train
anime256,113348,train
anime256,113349,train
anime256,113350,train
anime256,113351,validation
anime256,113363,train
anime256,113364,train
anime256,113366,validation
anime256,113369,train
anime256,113372,train
anime256,113387,train
anime256,113395,train
anime256,113402,test
anime256,113403,train
anime256,113409,train
anime256,113410,validation
anime256,113411,train
anime256,113412,train
anime256,113419,train
anime256,113431,train
anime256,113432,train
anime256,113437,train
anime256,113442,test
anime256,113447,validation
anime256,113453,validation
anime256,113463,train
anime256,113464,train
anime256,113466,test
anime256,113481,train
anime256,113484,validation
anime256,113496,train
anime256,113498,train
anime256,113499,validation
anime256,113513,test
anime256,113518,train
anime256,113519,train
anime256,113520,train
anime256,113522,train
anime256,113524,test
anime256,113526,train
anime256,113527,train
anime256,113529,train
anime256,113530,train
anime256,113532,train
anime256,113535,train
anime256,113536,train
anime256,113549,train
anime256,113552,validation
anime256,113585,train
anime256,113586,train
anime256,113590,validation
anime256,113598,train
anime256,113599,train
anime256,113608,train
anime256,113615,train
anime256,113616,validation
anime256,113617,train
anime256,113627,train
anime256,113648,train
anime256,113667,test
anime256,113680,train
anime256,113681,test
anime256,113685,train
anime256,116116,train
anime256,116117,train
anime256,116121,test
anime256,116125,train
anime256,116126,train
anime256,116127,train
anime256,116128,test
anime256,116134,train
anime256,116135,train
anime256,116137,train
anime256,116141,train
anime256,116152,train
anime256,116154,validation
anime256,116155,train
anime256,116156,train
anime256,116157,validation
anime256,116171,train
anime256,116174,train
anime256,116176,train
anime256,116178,train
anime256,116180,train
anime256,116181,validation
anime256,116189,train
anime256,116190,train
anime256,116191,test
anime256,116200,train
anime256,116216,train
anime256,116223,train
anime256,116228,train
anime256,116236,train
anime256,116239,train
anime256,116246,validation
anime256,116249,train
anime256,116267,train
anime256,116269,train
anime256,116272,test
anime256,116280,train
anime256,116290,validation
anime256,116292,train
anime256,116302,validation
anime256,116314,test
anime256,116315,train
anime256,116317,train
anime256,116319,train
anime256,116330,train
anime256,116332,train
anime256,116334,train
anime256,116339,train
anime256,116350,train
anime256,116361,train
anime256,116364,train
anime256,116421,validation
anime256,116430,train
anime256,116431,train
anime256,116440,train
anime256,116441,validation
anime256,116447,train
anime256,116455,train
anime256,116457,validation
anime256,116467,validation
anime256,116476,train
anime256,116479,train
anime256,116493,train
anime256,116502,test
anime256,116509,train
anime256,116512,train
anime256,116515,train
anime256,116516,train
anime256,116535,test
anime256,116537,train
anime256,116541,test
anime256,116586,test
anime256,116591,train
anime256,116594,test
anime256,116604,train
anime256,116606,test
anime256,116613,train
anime256,116615,train
anime256,116624,train
anime256,116628,train
anime256,116634,test
anime256,116639,train
anime256,116642,train
anime256,116648,train
anime256,116652,train
anime256,116653,train
anime256,116656,test
anime256,116664,train
anime256,116666,validation
anime256,116670,test
anime256,116675,test
anime256,116677,train
anime256,116678,train
anime256,116696,train
anime256,116706,train
anime256,116715,train
anime256,116727,train
anime256,116731,train
anime256,116733,train
anime256,116734,train
anime256,116735,train
anime256,116737,validation
anime256,116738,train
anime256,116742,train
anime256,116745,train
anime256,116747,train
anime256,116756,validation
anime256,116760,train
anime256,116762,test
anime256,116769,test
anime256,116773,train
anime256,116779,train
anime256,116780,train
anime256,116787,train
anime256,116791,test
anime256,116792,test
anime256,116793,train
anime256,116794,train
anime256,116798,test
anime256,116801,train
anime256,116803,train
anime256,116804,train
anime256,116810,test
anime256,116821,train
anime256,116823,validation
anime256,116824,train
anime256,116825,validation
anime256,116826,validation
anime256,116831,train
anime256,116833,train
anime256,116843,train
anime256,116844,train
anime256,116849,train
anime256,116853,train
anime256,116857,train
anime256,116860,train
anime256,116865,train
anime256,116866,test
anime256,116868,test
anime256,116869,train
anime256,116877,train
anime256,116884,train
anime256,116888,train
anime256,116890,test
anime256,116893,train
anime256,116896,train
anime256,116898,train
anime256,116903,validation
anime256,116909,train
anime256,116913,test
anime256,116922,train
anime256,116926,train
anime256,116927,train
anime256,116932,validation
anime256,116934,train
anime256,116935,validation
anime256,116937,train
anime256,116938,train
anime256,116939,test
anime256,116944,train
anime256,116948,test
anime256,116949,train
anime256,116957,train
anime256,116966,train
anime256,116977,train
anime256,116985,train
anime256,116988,train
anime256,116993,test
anime256,116998,train
anime256,117000,test
anime256,117004,train
anime256,117009,train
anime256,117013,train
anime256,117016,train
anime256,117018,train
anime256,119547,train
anime256,119557,train
anime256,119560,train
anime256,119570,train
anime256,119582,train
anime256,119589,train
anime256,119590,train
anime256,119591,train
anime256,119610,train
anime256,119612,train
anime256,119616,train
anime256,119617,train
anime256,119620,train
anime256,119625,train
anime256,119628,train
anime256,119637,validation
anime256,119657,train
anime256,119658,test
anime256,119692,train
anime256,119697,train
anime256,119734,validation
anime256,119735,train
anime256,119744,train
anime256,119757,train
anime256,119788,train
anime256,119807,train
anime256,119827,train
anime256,119835,train
anime256,119836,train
anime256,119840,train
anime256,119847,train
anime256,119849,train
anime256,119850,test
anime256,119852,train
anime256,119862,train
anime256,119865,train
anime256,119879,train
anime256,119887,train
anime256,119894,train
anime256,119896,train
anime256,119917,train
anime256,119924,train
anime256,119925,train
anime256,119926,train
anime256,119944,train
anime256,119946,train
anime256,119973,train
anime256,119975,train
anime256,119978,train
anime256,119983,train
anime256,119986,train
anime256,119988,train
anime256,119990,test
anime256,119996,train
anime256,120005,train
anime256,120006,validation
anime256,120015,train
anime256,120019,train
anime256,120023,train
anime256,120031,train
anime256,120036,validation
anime256,120043,train
anime256,120045,train
anime256,120057,train
anime256,120075,train
anime256,120081,train
anime256,120087,train
anime256,120089,train
anime256,120117,train
anime256,120124,train
anime256,120126,train
anime256,120134,test
anime256,120136,validation
anime256,120142,train
anime256,120144,train
anime256,120145,train
anime256,120151,train
anime256,120162,test
anime256,120164,train
anime256,120169,train
anime256,120172,train
anime256,120174,train
anime256,120175,train
anime256,120176,train
anime256,120177,test
anime256,120190,test
anime256,120192,train
anime256,120197,train
anime256,120198,train
anime256,120204,train
anime256,120212,test
anime256,120216,test
anime256,120221,train
anime256,120225,train
anime256,120228,train
anime256,120229,train
anime256,120231,train
anime256,120232,train
anime256,120258,train
anime256,120259,train
anime256,120267,test
anime256,120269,train
anime256,120270,validation
anime256,120271,train
anime256,120278,validation
anime256,120279,train
anime256,120280,test
anime256,120283,validation
anime256,120288,validation
anime256,120290,train
anime256,120294,train
anime256,120303,train
anime256,120307,test
anime256,120314,train
anime256,120329,test
anime256,120331,validation
anime256,120332,train
anime256,120335,train
anime256,120350,train
anime256,120352,validation
anime256,120353,test
anime256,120355,train
anime256,120358,train
anime256,120360,train
anime256,120362,train
anime256,120363,train
anime256,120403,train
anime256,120407,train
anime256,120410,test
anime256,120437,train
anime256,120442,train
anime256,120453,test
anime256,120455,train
anime256,120461,train
anime256,120477,train
anime256,120480,train
anime256,120488,validation
anime256,120494,validation
anime256,120495,train
anime256,120499,train
anime256,120500,train
anime256,120501,train
anime256,120507,test
anime256,120508,test
anime256,120509,test
anime256,120510,train
anime256,120512,train
anime256,120517,train
anime256,120518,train
anime256,122947,train
anime256,122959,train
anime256,122980,validation
anime256,123011,train
anime256,123013,train
anime256,123026,train
anime256,123032,train
anime256,123035,train
anime256,123037,train
anime256,123038,train
anime256,123040,train
anime256,123041,train
anime256,123042,train
anime256,123043,train
anime256,123055,train
anime256,123059,test
anime256,123069,train
anime256,123081,train
anime256,123089,train
anime256,123095,test
anime256,123104,train
anime256,123109,train
anime256,123110,train
anime256,123111,train
anime256,123113,train
anime256,123116,test
anime256,123120,train
anime256,123133,train
anime256,123134,test
anime256,123141,train
anime256,123142,test
anime256,123155,train
anime256,123158,train
anime256,123159,train
anime256,123162,validation
anime256,123173,train
anime256,123185,validation
anime256,123186,train
anime256,123187,train
anime256,123188,train
anime256,123189,train
anime256,123191,train
anime256,123192,train
anime256,123196,train
anime256,123201,train
anime256,123202,test
anime256,123205,validation
anime256,123209,train
anime256,123215,train
anime256,123218,train
anime256,123219,test
anime256,123239,train
anime256,123240,test
anime256,123249,train
anime256,123256,train
anime256,123257,train
anime256,123266,train
anime256,123276,train
anime256,123279,train
anime256,123282,train
anime256,123284,train
anime256,123288,train
anime256,123291,train
anime256,123296,train
anime256,123299,train
anime256,123305,train
anime256,123306,train
anime256,123309,train
anime256,123313,train
anime256,123316,train
anime256,123319,train
anime256,123322,train
anime256,123324,test
anime256,123325,train
anime256,123326,train
anime256,123356,train
anime256,123359,train
anime256,123360,test
anime256,123367,train
anime256,123390,train
anime256,123395,train
anime256,123396,test
anime256,123400,train
anime256,123403,train
anime256,123406,validation
anime256,123407,validation
anime256,123413,train
anime256,123418,train
anime256,123420,train
anime256,123428,validation
anime256,123429,validation
anime256,123445,test
anime256,123449,validation
anime256,123454,train
anime256,123455,validation
anime256,123456,train
anime256,123458,validation
anime256,123459,train
anime256,123460,train
anime256,123461,train
anime256,123462,train
anime256,123464,train
anime256,123477,train
anime256,123483,validation
anime256,123494,train
anime256,123511,validation
anime256,123512,train
anime256,123525,train
anime256,123533,train
anime256,123534,train
anime256,123535,train
anime256,123538,train
anime256,123540,train
anime256,123543,train
anime256,123546,train
anime256,123547,train
anime256,123549,train
anime256,123552,train
anime256,123554,train
anime256,123556,train
anime256,123557,test
anime256,123559,train
anime256,123568,train
anime256,123577,train
anime256,123578,train
anime256,123581,train
anime256,123583,train
anime256,123584,train
anime256,123588,train
anime256,123592,train
anime256,123607,test
anime256,123619,train
anime256,123621,train
anime256,123628,train
anime256,123640,train
anime256,123643,train
anime256,123649,validation
anime256,123669,train
anime256,123677,train
anime256,123679,train
anime256,123684,test
anime256,123687,train
anime256,123690,train
anime256,123691,train
anime256,123697,test
anime256,123706,validation
anime256,123708,train
anime256,123720,validation
anime256,123724,test
anime256,123725,train
anime256,123736,train
anime256,123741,test
anime256,123743,train
anime256,123745,train
anime256,123747,train
anime256,123750,train
anime256,123752,train
anime256,123753,train
anime256,123755,test
anime256,123756,train
anime256,123765,train
anime256,123769,validation
anime256,123773,test
anime256,123774,train
anime256,123778,train
anime256,123779,train
anime256,123782,train
anime256,123788,train
anime256,123794,train
anime256,123804,train
anime256,123805,train
anime256,123826,validation
anime256,123827,train
anime256,123833,train
anime256,123849,test
anime256,123866,train
anime256,123867,train
anime256,123872,train
anime256,123879,train
anime256,123880,train
anime256,123881,train
anime256,123882,train
anime256,123885,train
anime256,123891,train
anime256,123896,train
anime256,123897,train
anime256,123898,train
anime256,123903,validation
anime256,123904,validation
anime256,123905,train
anime256,126,train
anime256,126361,train
anime256,126370,validation
anime256,126378,validation
anime256,126384,train
anime256,126411,train
anime256,126435,train
anime256,126442,train
anime256,126456,train
anime256,126457,train
anime256,126459,train
anime256,126460,train
anime256,126469,train
anime256,126470,validation
anime256,126471,test
anime256,126488,train
anime256,126489,train
anime256,126503,validation
anime256,126514,train
anime256,126516,train
anime256,126519,train
anime256,126520,train
anime256,126530,test
anime256,126533,train
anime256,126540,train
anime256,126566,train
anime256,126572,train
anime256,126576,test
anime256,126585,test
anime256,126586,train
anime256,126587,train
anime256,126615,train
anime256,126618,validation
anime256,126627,test
anime256,126632,validation
anime256,126717,train
anime256,126738,test
anime256,126739,train
anime256,126759,train
anime256,126761,train
anime256,126764,train
anime256,126769,train
anime256,126772,train
anime256,126775,validation
anime256,126782,train
anime256,126785,train
anime256,126787,train
anime256,126802,train
anime256,126819,train
anime256,126832,train
anime256,126835,train
anime256,126837,validation
anime256,126840,validation
anime256,126841,train
anime256,126847,train
anime256,126849,train
anime256,126850,train
anime256,126867,train
anime256,126869,train
anime256,126875,train
anime256,126884,validation
anime256,126907,test
anime256,126908,train
anime256,126911,validation
anime256,126912,train
anime256,126919,train
anime256,126922,train
anime256,126925,train
anime256,126928,validation
anime256,126929,train
anime256,126942,train
anime256,126947,train
anime256,126951,train
anime256,126952,test
anime256,126979,test
anime256,126980,train
anime256,126981,test
anime256,126983,train
anime256,126985,train
anime256,126986,train
anime256,126988,train
anime256,126991,train
anime256,127000,train
anime256,127001,validation
anime256,127002,train
anime256,127006,train
anime256,127008,train
anime256,127012,train
anime256,127024,train
anime256,127027,train
anime256,127029,train
anime256,127031,train
anime256,127032,train
anime256,127035,train
anime256,127042,train
anime256,127051,train
anime256,127060,train
anime256,127068,train
anime256,127084,train
anime256,127086,train
anime256,127088,train
anime256,127098,train
anime256,127102,train
anime256,127104,train
