sample_id,decision,tags,note
trp00100,keep,,
trp00101,keep,,
trp00102,keep,,
trp00103,keep,,
trp00104,keep,,
trp00105,keep,,
trp00106,keep,,
trp00107,keep,,
trp00108,keep,,
trp00109,keep,,
trp00110,keep,,
trp00111,keep,,
trp00112,keep,,
trp00113,keep,,
trp00114,keep,,
trp00115,keep,,
trp00116,keep,,
trp00117,keep,,
trp00118,keep,,
trp00119,keep,,
trp00120,keep,,
trp00121,keep,,
trp00122,keep,,
trp00123,keep,,
trp00124,keep,,
trp00125,keep,,
trp00126,keep,,
trp00127,keep,,
trp00128,keep,,
trp00129,keep,,
trp00130,keep,,
trp00131,keep,,
trp00132,keep,,
trp00133,keep,,
trp00134,keep,,
trp00135,keep,,
trp00136,keep,,
trp00137,keep,,
trp00138,keep,,
trp00139,keep,,
trp00140,keep,,
trp00141,keep,,
trp00142,keep,,
trp00143,keep,,
trp00144,keep,,
trp00145,keep,,
trp00146,keep,,
trp00147,keep,,
trp00148,keep,,
trp00149,keep,,
trp00150,keep,,
trp00151,keep,,
trp00152,reject,,低清晰度且局部遮挡，无法可靠辨认完整人脸
trp00153,keep,,
trp00154,keep,,
trp00155,keep,,
trp00156,keep,,
trp00157,keep,,
trp00158,keep,,
trp00159,keep,,
trp00160,keep,,
trp00161,keep,,
trp00162,keep,,
trp00163,keep,,
trp00164,keep,,
trp00165,keep,,
trp00166,keep,,
trp00167,keep,,
trp00168,keep,,
trp00169,keep,,
trp00170,keep,,
trp00171,keep,,
trp00172,keep,,
trp00173,keep,,
trp00174,keep,,
trp00175,keep,,
trp00176,keep,,
trp00177,keep,,
trp00178,keep,,
trp00179,keep,,
trp00180,keep,,
trp00181,keep,,
trp00182,keep,,
trp00183,keep,,
trp00184,keep,,
trp00185,keep,,
trp00186,reject,,图像过浅，五官难以辨认
trp00187,reject,,仅保留眼部及局部脸侧，面部不完整
trp00188,keep,,
trp00189,keep,,
trp00190,keep,,
trp00191,keep,,
trp00192,keep,,
trp00193,keep,,
trp00194,keep,,
trp00195,keep,,
trp00196,keep,,
trp00197,keep,,
trp00198,keep,,
trp00199,keep,,
trp00200,keep,,
trp00201,keep,,
trp00202,keep,,
trp00203,keep,,
trp00204,keep,,
trp00205,keep,,
trp00206,keep,,
trp00207,keep,,
trp00208,keep,,
trp00209,keep,,
trp00210,keep,,
trp00211,keep,,
trp00212,keep,,
trp00213,keep,,
trp00214,keep,,
trp00215,keep,,
trp00216,keep,,
trp00217,keep,,
trp00218,keep,,
trp00219,keep,,
trp00220,keep,,
trp00221,keep,,
trp00222,keep,,
trp00223,keep,,
trp00224,keep,,
trp00225,keep,,
trp00226,keep,,
trp00227,keep,,
trp00228,keep,,
trp00229,keep,,
trp00230,keep,,
trp00231,keep,,
trp00232,keep,,
trp00233,keep,,
trp00234,keep,,
trp00235,keep,,
trp00236,keep,,
trp00237,keep,,
trp00238,keep,,
trp00239,keep,,
trp00240,keep,,
trp00241,keep,,
trp00242,keep,,
trp00243,keep,,
trp00244,keep,,
trp00245,keep,,
trp00246,keep,,
trp00247,keep,,
trp00248,keep,,
trp00249,keep,,
trp00250,keep,,
trp00251,keep,,
trp00252,keep,,
trp00253,keep,,
trp00254,keep,,
trp00255,keep,,
trp00256,keep,,
trp00257,keep,,
trp00258,keep,,
trp00259,keep,,
trp00260,keep,,
trp00261,reject,,错误框，画面框线与局部面部混杂
trp00262,keep,,
trp00263,keep,,
trp00264,keep,,
trp00265,keep,,
trp00266,keep,,
trp00267,keep,,
trp00268,keep,,
trp00269,keep,,
trp00270,keep,,
trp00271,keep,,
trp00272,keep,,
trp00273,keep,,
trp00274,keep,,
trp00275,keep,,
trp00276,reject,,头发与遮挡区域占比过大，面部不完整
trp00277,keep,,
trp00278,keep,,
trp00279,keep,,
trp00280,keep,,
trp00281,keep,,
trp00282,keep,,
trp00283,keep,,
trp00284,keep,,
trp00285,keep,,
trp00286,keep,,
trp00287,keep,,
trp00288,keep,,
trp00289,keep,,
trp00290,reject,,面部局部过曝或线条过浅，五官难以辨认
trp00291,keep,,
trp00292,keep,,
trp00293,keep,,
trp00294,keep,,
trp00295,keep,,
trp00296,keep,,
trp00297,keep,,
trp00298,keep,,
trp00299,keep,,
trp00300,keep,,
trp00301,keep,,
trp00302,keep,,
trp00303,keep,,
trp00304,keep,,
trp00305,keep,,
trp00306,keep,,
trp00307,keep,,
trp00308,keep,,
trp00309,keep,,
trp00310,keep,,
trp00311,keep,,
trp00312,keep,,
trp00313,keep,,
trp00314,keep,,
trp00315,keep,,
trp00316,keep,,
trp00317,reject,,侧脸仅保留部分轮廓，脸部被裁切
trp00318,keep,,
trp00319,keep,,
trp00320,keep,,
trp00321,keep,,
trp00322,keep,,
trp00323,keep,,
trp00324,keep,,
trp00325,keep,,
trp00326,keep,,
trp00327,keep,,
trp00328,keep,,
trp00329,keep,,
trp00330,keep,,
trp00331,keep,,
trp00332,keep,,
trp00333,reject,,错误框，主要内容非完整面部
trp00334,keep,,
trp00335,keep,,
trp00336,keep,,
trp00337,keep,,
trp00338,keep,,
trp00339,keep,,
trp00340,keep,,
trp00341,keep,,
trp00342,keep,,
trp00343,keep,,
trp00344,keep,,
trp00345,keep,,
trp00346,keep,,
trp00347,keep,,
trp00348,keep,,
trp00349,keep,,
trp00350,keep,,
trp00351,keep,,
trp00352,keep,,
trp00353,keep,,
trp00354,keep,,
trp00355,keep,,
trp00356,keep,,
trp00357,keep,,
trp00358,keep,,
trp00359,keep,,
trp00360,keep,,
trp00361,keep,,
trp00362,keep,,
trp00363,keep,,
trp00364,keep,,
trp00365,keep,,
trp00366,keep,,
trp00367,keep,,
trp00368,keep,,
trp00369,keep,,
trp00370,keep,,
trp00371,keep,,
trp00372,keep,,
trp00373,keep,,
trp00374,keep,,
trp00375,keep,,
trp00376,keep,,
trp00377,keep,,
trp00378,keep,,
trp00379,keep,,
trp00380,keep,,
trp00381,keep,,
trp00382,keep,,
trp00383,keep,,
trp00384,keep,,
trp00385,keep,,
trp00386,keep,,
trp00387,keep,,
trp00388,keep,,
trp00389,keep,,
trp00390,keep,,
trp00391,keep,,
trp00392,keep,,
trp00393,keep,,
trp00394,keep,,
trp00395,keep,,
trp00396,keep,,
trp00397,reject,,人脸区域与其他画面内容混杂，完整面部不可辨认
trp00398,keep,,
trp00399,keep,,
trp00400,keep,,
trp00401,keep,,
trp00402,keep,,
trp00403,keep,,
trp00404,keep,,
trp00405,keep,,
trp00406,keep,,
trp00407,reject,,错误框，画面线条占比过高，无法定位完整人脸
trp00408,keep,,
trp00409,keep,,
trp00410,keep,,
trp00411,keep,,
trp00412,keep,,
trp00413,keep,,
trp00414,keep,,
trp00415,keep,,
trp00416,keep,,
trp00417,keep,,
trp00418,keep,,
trp00419,keep,,
trp00420,keep,,
trp00421,keep,,
trp00422,keep,,
trp00423,keep,,
trp00424,keep,,
trp00425,keep,,
trp00426,keep,,
trp00427,keep,,
trp00428,keep,,
trp00429,keep,,
trp00430,keep,,
trp00431,keep,,
trp00432,keep,,
trp00433,keep,,
trp00434,keep,,
trp00435,keep,,
trp00436,keep,,
trp00437,keep,,
trp00438,keep,,
trp00439,keep,,
trp00440,keep,,
trp00441,keep,,
trp00442,keep,,
trp00443,keep,,
trp00444,keep,,
trp00445,keep,,
trp00446,keep,,
trp00447,keep,,
trp00448,keep,,
trp00449,keep,,
trp00450,keep,,
trp00451,keep,,
trp00452,keep,,
trp00453,keep,,
trp00454,keep,,
trp00455,keep,,
trp00456,keep,,
trp00457,keep,,
trp00458,reject,,低分辨率且背景干扰严重，面部不清晰
trp00459,keep,,
trp00460,keep,,
trp00461,keep,,
trp00462,keep,,
trp00463,keep,,
trp00464,keep,,
trp00465,keep,,
trp00466,keep,,
trp00467,keep,,
trp00468,keep,,
trp00469,keep,,
trp00470,keep,,
trp00471,keep,,
trp00472,keep,,
trp00473,keep,,
trp00474,keep,,
trp00475,keep,,
trp00476,keep,,
trp00477,keep,,
trp00478,reject,,错误框，主要截取非人脸区域
trp00479,keep,,
trp00480,keep,,
trp00481,keep,,
trp00482,keep,,
trp00483,keep,,
trp00484,keep,,
trp00485,keep,,
trp00486,keep,,
trp00487,keep,,
trp00488,reject,,头发遮挡且脸部被裁切，主要五官缺失
trp00489,keep,,
trp00490,keep,,
trp00491,keep,,
trp00492,keep,,
trp00493,keep,,
trp00494,keep,,
trp00495,keep,,
trp00496,reject,,错误框，框内人物及背景混杂，脸部不完整
trp00497,keep,,
trp00498,keep,,
trp00499,keep,,
trp00500,reject,,裁剪偏移，面部仅余局部五官
trp00501,keep,,
trp00502,keep,,
trp00503,reject,,严重遮挡和裁切，面部难以辨认
trp00504,keep,,
trp00505,keep,,
trp00506,keep,,
trp00507,keep,,
trp00508,keep,,
trp00509,keep,,
trp00510,keep,,
trp00511,keep,,
trp00512,keep,,
trp00513,keep,,
trp00514,keep,,
trp00515,keep,,
trp00516,keep,,
trp00517,keep,,
trp00518,keep,,
trp00519,keep,,
trp00520,keep,,
trp00521,keep,,
trp00522,keep,,
trp00523,keep,,
trp00524,keep,,
trp00525,keep,,
trp00526,keep,,
trp00527,keep,,
trp00528,keep,,
trp00529,keep,,
trp00530,keep,,
trp00531,keep,,
trp00532,keep,,
trp00533,keep,,
trp00534,keep,,
trp00535,keep,,
trp00536,keep,,
trp00537,keep,,
trp00538,keep,,
trp00539,keep,,
trp00540,keep,,
trp00541,keep,,
trp00542,reject,,错误框，非人脸图案占比过大
trp00543,keep,,
trp00544,keep,,
trp00545,keep,,
trp00546,keep,,
trp00547,keep,,
trp00548,keep,,
trp00549,keep,,
trp00550,keep,,
trp00551,keep,,
trp00552,keep,,
trp00553,keep,,
trp00554,keep,,
trp00555,keep,,
trp00556,keep,,
trp00557,keep,,
trp00558,keep,,
trp00559,keep,,
trp00560,keep,,
trp00561,keep,,
trp00562,keep,,
trp00563,reject,,错误框，框内以画面线条为主，缺少完整脸部
trp00564,keep,,
trp00565,keep,,
trp00566,keep,,
trp00567,keep,,
trp00568,keep,,
trp00569,keep,,
trp00570,keep,,
trp00571,keep,,
trp00572,keep,,
trp00573,keep,,
trp00574,keep,,
trp00575,keep,,
trp00576,keep,,
trp00577,keep,,
trp00578,reject,,脸部主要五官被遮挡，面部不完整
trp00579,keep,,
trp00580,keep,,
trp00581,keep,,
trp00582,keep,,
trp00583,keep,,
trp00584,keep,,
trp00585,keep,,
trp00586,keep,,
trp00587,keep,,
trp00588,keep,,
trp00589,reject,,错误框，画面内容混杂，无法辨认完整脸部
trp00590,keep,,
trp00591,reject,,画面线条及背景干扰严重，五官难以辨认
trp00592,keep,,
trp00593,keep,,
trp00594,keep,,
trp00595,keep,,
trp00596,keep,,
trp00597,keep,,
trp00598,keep,,
trp00599,keep,,
trp00600,keep,,
trp00601,keep,,
trp00602,keep,,
trp00603,keep,,
trp00604,keep,,
trp00605,keep,,
trp00606,keep,,
trp00607,keep,,
trp00608,keep,,
trp00609,keep,,
trp00610,keep,,
trp00611,keep,,
trp00612,keep,,
trp00613,keep,,
trp00614,keep,,
trp00615,keep,,
trp00616,keep,,
trp00617,keep,,
trp00618,keep,,
trp00619,keep,,
trp00620,keep,,
trp00621,reject,,人脸被上缘裁切，五官保留不完整
trp00622,keep,,
trp00623,keep,,
trp00624,keep,,
trp00625,keep,,
trp00626,keep,,
trp00627,keep,,
trp00628,keep,,
trp00629,keep,,
trp00630,keep,,
trp00631,keep,,
trp00632,keep,,
trp00633,keep,,
trp00634,keep,,
trp00635,keep,,
trp00636,keep,,
trp00637,keep,,
trp00638,keep,,
trp00639,keep,,
trp00640,keep,,
trp00641,keep,,
trp00642,keep,,
trp00643,keep,,
trp00644,keep,,
trp00645,keep,,
trp00646,keep,,
trp00647,keep,,
trp00648,keep,,
trp00649,keep,,
trp00650,keep,,
trp00651,keep,,
trp00652,keep,,
trp00653,keep,,
trp00654,keep,,
trp00655,keep,,
trp00656,keep,,
trp00657,keep,,
trp00658,keep,,
trp00659,keep,,
trp00660,keep,,
trp00661,keep,,
trp00662,keep,,
trp00663,keep,,
trp00664,keep,,
trp00665,keep,,
trp00666,keep,,
trp00667,keep,,
trp00668,keep,,
trp00669,keep,,
trp00670,keep,,
trp00671,keep,,
trp00672,keep,,
trp00673,keep,,
trp00674,keep,,
trp00675,keep,,
trp00676,keep,,
trp00677,keep,,
trp00678,keep,,
trp00679,keep,,
trp00680,keep,,
trp00681,keep,,
trp00682,keep,,
trp00683,keep,,
trp00684,keep,,
trp00685,keep,,
trp00686,keep,,
trp00687,keep,,
trp00688,keep,,
trp00689,keep,,
trp00690,keep,,
trp00691,keep,,
trp00692,keep,,
trp00693,keep,,
trp00694,keep,,
trp00695,keep,,
trp00696,keep,,
trp00697,reject,,脸部被裁切且局部模糊，面部结构不完整
trp00698,keep,,
trp00699,keep,,
trp00700,keep,,
trp00701,keep,,
trp00702,keep,,
trp00703,keep,,
trp00704,keep,,
trp00705,keep,,
trp00706,keep,,
trp00707,reject,,侧脸裁切过重，主要五官缺失
trp00708,keep,,
trp00709,keep,,
trp00710,keep,,
trp00711,keep,,
trp00712,keep,,
trp00713,keep,,
trp00714,keep,,
trp00715,keep,,
trp00716,keep,,
trp00717,keep,,
trp00718,keep,,
trp00719,keep,,
trp00720,keep,,
trp00721,keep,,
trp00722,reject,,仅有下半脸或局部面部轮廓，非完整人脸
trp00723,keep,,
trp00724,keep,,
trp00725,keep,,
trp00726,keep,,
trp00727,keep,,
trp00728,keep,,
trp00729,keep,,
trp00730,keep,,
trp00731,keep,,
trp00732,keep,,
trp00733,keep,,
trp00734,keep,,
trp00735,keep,,
trp00736,keep,,
trp00737,keep,,
trp00738,keep,,
trp00739,keep,,
trp00740,keep,,
trp00741,keep,,
trp00742,keep,,
trp00743,keep,,
trp00744,keep,,
trp00745,keep,,
trp00746,keep,,
trp00747,keep,,
trp00748,keep,,
trp00749,keep,,
trp00750,keep,,
trp00751,keep,,
trp00752,keep,,
trp00753,keep,,
trp00754,keep,,
trp00755,keep,,
trp00756,keep,,
trp00757,keep,,
trp00758,keep,,
trp00759,keep,,
trp00760,keep,,
trp00761,keep,,
trp00762,keep,,
trp00763,keep,,
trp00764,keep,,
trp00765,keep,,
trp00766,keep,,
trp00767,keep,,
trp00768,keep,,
trp00769,keep,,
trp00770,keep,,
trp00771,keep,,
trp00772,keep,,
trp00773,keep,,
trp00774,keep,,
trp00775,keep,,
trp00776,keep,,
trp00777,keep,,
trp00778,reject,,头部侧缘被截断，面部信息不足
trp00779,keep,,
trp00780,keep,,
trp00781,keep,,
trp00782,keep,,
trp00783,keep,,
trp00784,keep,,
trp00785,reject,,侧脸被裁切，脸部轮廓不完整
trp00786,keep,,
trp00787,keep,,
trp00788,keep,,
trp00789,keep,,
trp00790,keep,,
trp00791,keep,,
trp00792,reject,,侧脸过度裁切，仅保留部分轮廓
trp00793,keep,,
trp00794,keep,,
trp00795,keep,,
trp00796,keep,,
trp00797,keep,,
trp00798,keep,,
trp00799,keep,,
trp00800,keep,,
trp00801,keep,,
trp00802,keep,,
trp00803,keep,,
trp00804,keep,,
trp00805,keep,,
trp00806,keep,,
trp00807,keep,,
trp00808,keep,,
trp00809,keep,,
trp00810,keep,,
trp00811,keep,,
trp00812,keep,,
trp00813,keep,,
trp00814,keep,,
trp00815,keep,,
trp00816,keep,,
trp00817,keep,,
trp00818,keep,,
trp00819,keep,,
trp00820,keep,,
trp00821,keep,,
trp00822,keep,,
trp00823,keep,,
trp00824,keep,,
trp00825,keep,,
trp00826,keep,,
trp00827,keep,,
trp00828,keep,,
trp00829,keep,,
trp00830,keep,,
trp00831,keep,,
trp00832,keep,,
trp00833,keep,,
trp00834,keep,,
trp00835,keep,,
trp00836,keep,,
trp00837,keep,,
trp00838,keep,,
trp00839,keep,,
trp00840,keep,,
trp00841,keep,,
trp00842,keep,,
trp00843,keep,,
trp00844,keep,,
trp00845,keep,,
trp00846,keep,,
trp00847,keep,,
trp00848,reject,,仅保留下半脸，眼部等关键部位缺失
trp00849,keep,,
trp00850,keep,,
trp00851,keep,,
trp00852,keep,,
trp00853,keep,,
trp00854,keep,,
trp00855,keep,,
trp00856,keep,,
trp00857,reject,,面部模糊且局部遮挡，完整人脸难以辨认
trp00858,keep,,
trp00859,keep,,
trp00860,keep,,
trp00861,keep,,
trp00862,keep,,
trp00863,keep,,
trp00864,keep,,
trp00865,keep,,
trp00866,keep,,
trp00867,keep,,
trp00868,keep,,
trp00869,keep,,
trp00870,keep,,
trp00871,keep,,
trp00872,keep,,
trp00873,keep,,
trp00874,keep,,
trp00875,keep,,
trp00876,keep,,
trp00877,keep,,
trp00878,keep,,
trp00879,keep,,
trp00880,keep,,
trp00881,keep,,
trp00882,keep,,
trp00883,keep,,
trp00884,keep,,
trp00885,keep,,
trp00886,keep,,
trp00887,keep,,
trp00888,keep,,
trp00889,keep,,
trp00890,keep,,
trp00891,keep,,
trp00892,keep,,
trp00893,keep,,
trp00894,keep,,
trp00895,keep,,
trp00896,keep,,
trp00897,keep,,
trp00898,keep,,
trp00899,keep,,
trp00900,keep,,
trp00901,keep,,
trp00902,keep,,
trp00903,keep,,
trp00904,keep,,
trp00905,keep,,
trp00906,keep,,
trp00907,keep,,
trp00908,keep,,
trp00909,keep,,
trp00910,keep,,
trp00911,keep,,
trp00912,keep,,
trp00913,keep,,
trp00914,keep,,
trp00915,keep,,
trp00916,keep,,
trp00917,keep,,
trp00918,keep,,
trp00919,keep,,
trp00920,keep,,
trp00921,keep,,
trp00922,keep,,
trp00923,keep,,
trp00924,keep,,
trp00925,keep,,
trp00926,keep,,
trp00927,keep,,
trp00928,keep,,
trp00929,keep,,
trp00930,keep,,
trp00931,keep,,
trp00932,keep,,
trp00933,keep,,
trp00934,keep,,
trp00935,keep,,
trp00936,keep,,
trp00937,keep,,
trp00938,keep,,
trp00939,keep,,
trp00940,keep,,
trp00941,reject,,脸部被画面边界裁切，五官不完整
trp00942,keep,,
trp00943,keep,,
trp00944,keep,,
trp00945,keep,,
trp00946,keep,,
trp00947,keep,,
trp00948,keep,,
trp00949,keep,,
trp00950,keep,,
trp00951,keep,,
trp00952,keep,,
trp00953,keep,,
trp00954,keep,,
trp00955,keep,,
trp00956,reject,,画面过浅，脸部结构难以辨认
trp00957,keep,,
trp00958,reject,,脸部侧缘与背景混杂，主要五官不完整
trp00959,keep,,
trp00960,keep,,
trp00961,keep,,
trp00962,keep,,
trp00963,keep,,
trp00964,keep,,
trp00965,keep,,
trp00966,keep,,
trp00967,keep,,
trp00968,keep,,
trp00969,keep,,
trp00970,keep,,
trp00971,keep,,
trp00972,keep,,
trp00973,keep,,
trp00974,reject,,头发遮挡且脸部裁切，面部难以辨认
trp00975,keep,,
trp00976,keep,,
trp00977,keep,,
trp00978,keep,,
trp00979,keep,,
trp00980,keep,,
trp00981,keep,,
trp00982,keep,,
trp00983,keep,,
trp00984,keep,,
trp00985,keep,,
trp00986,keep,,
trp00987,reject,,脸部边界模糊，面部细节不足以确认完整人脸
trp00988,keep,,
trp00989,keep,,
trp00990,keep,,
trp00991,keep,,
trp00992,keep,,
trp00993,keep,,
trp00994,keep,,
trp00995,keep,,
trp00996,reject,,画面线条与面部局部混杂，缺少完整脸部
trp00997,keep,,
trp00998,keep,,
trp00999,keep,,
trp01000,keep,,
trp01001,keep,,
trp01002,keep,,
trp01003,keep,,
trp01004,keep,,
trp01005,keep,,
trp01006,keep,,
trp01007,keep,,
trp01008,keep,,
trp01009,keep,,
trp01010,keep,,
trp01011,keep,,
trp01012,keep,,
trp01013,keep,,
trp01014,keep,,
trp01015,keep,,
trp01016,keep,,
trp01017,keep,,
trp01018,keep,,
trp01019,keep,,
trp01020,keep,,
trp01021,keep,,
trp01022,keep,,
trp01023,keep,,
trp01024,keep,,
trp01025,keep,,
trp01026,keep,,
trp01027,keep,,
trp01028,keep,,
trp01029,keep,,
trp01030,keep,,
trp01031,reject,,头发遮挡，下半脸及面部轮廓不完整
trp01032,keep,,
trp01033,reject,,侧脸被截断且线条过浅，面部不完整
trp01034,keep,,
trp01035,keep,,
trp01036,keep,,
trp01037,keep,,
trp01038,keep,,
trp01039,keep,,
trp01040,keep,,
trp01041,keep,,
trp01042,keep,,
trp01043,reject,,裁剪位置偏移，仅保留局部五官
trp01044,keep,,
trp01045,keep,,
trp01046,keep,,
trp01047,keep,,
trp01048,keep,,
trp01049,keep,,
trp01050,keep,,
trp01051,keep,,
trp01052,keep,,
trp01053,keep,,
trp01054,keep,,
trp01055,keep,,
trp01056,keep,,
trp01057,keep,,
trp01058,keep,,
trp01059,keep,,
trp01060,keep,,
trp01061,keep,,
trp01062,keep,,
trp01063,keep,,
trp01064,keep,,
trp01065,keep,,
trp01066,keep,,
trp01067,keep,,
trp01068,keep,,
trp01069,keep,,
trp01070,keep,,
trp01071,keep,,
trp01072,keep,,
trp01073,keep,,
trp01074,keep,,
trp01075,keep,,
trp01076,keep,,
trp01077,keep,,
trp01078,keep,,
trp01079,reject,,错误框，非人脸图案或画面线条占比过大
trp01080,keep,,
trp01081,keep,,
trp01082,keep,,
trp01083,keep,,
trp01084,keep,,
trp01085,keep,,
trp01086,keep,,
trp01087,keep,,
trp01088,keep,,
trp01089,keep,,
trp01090,keep,,
trp01091,reject,,脸部遮挡明显，主要五官不完整
trp01092,keep,,
trp01093,keep,,
trp01094,keep,,
trp01095,reject,,面部部分被截断，仅保留局部五官
trp01096,keep,,
trp01097,keep,,
trp01098,keep,,
trp01099,keep,,
trp01100,keep,,
trp01101,keep,,
trp01102,reject,,框内线条与背景干扰严重，未见完整面部
trp01103,keep,,
trp01104,keep,,
trp01105,keep,,
trp01106,keep,,
trp01107,keep,,
trp01108,keep,,
trp01109,keep,,
trp01110,keep,,
trp01111,keep,,
trp01112,keep,,
trp01113,keep,,
trp01114,keep,,
trp01115,keep,,
trp01116,keep,,
trp01117,keep,,
trp01118,keep,,
trp01119,keep,,
trp01120,keep,,
trp01121,keep,,
trp01122,keep,,
trp01123,keep,,
trp01124,keep,,
trp01125,keep,,
trp01126,keep,,
trp01127,keep,,
trp01128,keep,,
trp01129,keep,,
trp01130,keep,,
trp01131,keep,,
trp01132,keep,,
trp01133,keep,,
trp01134,keep,,
trp01135,keep,,
trp01136,keep,,
trp01137,reject,,低对比度且裁切过重，脸部难以辨认
trp01138,keep,,
trp01139,keep,,
trp01140,keep,,
trp01141,keep,,
trp01142,keep,,
trp01143,keep,,
trp01144,keep,,
trp01145,keep,,
trp01146,keep,,
trp01147,reject,,错误框，主体以非面部图案为主
trp01148,keep,,
trp01149,keep,,
trp01150,keep,,
trp01151,reject,,错误框，框内面部不完整且背景干扰明显
trp01152,keep,,
trp01153,keep,,
trp01154,keep,,
trp01155,keep,,
trp01156,keep,,
trp01157,keep,,
trp01158,keep,,
trp01159,keep,,
trp01160,keep,,
trp01161,keep,,
trp01162,keep,,
trp01163,keep,,
trp01164,keep,,
trp01165,reject,,脸部主要轮廓被截断，无法确认完整人脸
trp01166,keep,,
trp01167,keep,,
trp01168,keep,,
trp01169,keep,,
trp01170,keep,,
trp01171,keep,,
trp01172,keep,,
trp01173,keep,,
trp01174,keep,,
trp01175,reject,,疑似人脸区域被过度裁切，五官结构不足
trp01176,keep,,
trp01177,keep,,
trp01178,keep,,
trp01179,keep,,
trp01180,keep,,
trp01181,keep,,
trp01182,keep,,
trp01183,keep,,
trp01184,keep,,
trp01185,reject,,脸部部分被遮挡，无法准确识别完整五官
trp01186,keep,,
trp01187,keep,,
trp01188,reject,,面部裁切过重，五官不完整
trp01189,keep,,
trp01190,keep,,
trp01191,keep,,
trp01192,keep,,
trp01193,keep,,
trp01194,keep,,
trp01195,keep,,
trp01196,keep,,
trp01197,keep,,
trp01198,keep,,
trp01199,keep,,
trp01200,keep,,
trp01201,keep,,
trp01202,keep,,
trp01203,keep,,
trp01204,keep,,
trp01205,keep,,
trp01206,keep,,
trp01207,keep,,
trp01208,keep,,
trp01209,keep,,
trp01210,keep,,
trp01211,keep,,
trp01212,reject,,错误框，框内并非清晰完整的人脸
trp01213,keep,,
trp01214,keep,,
trp01215,keep,,
trp01216,keep,,
trp01217,keep,,
trp01218,keep,,
trp01219,keep,,
trp01220,keep,,
trp01221,keep,,
trp01222,keep,,
trp01223,keep,,
trp01224,keep,,
trp01225,keep,,
trp01226,keep,,
trp01227,keep,,
trp01228,keep,,
trp01229,keep,,
trp01230,keep,,
trp01231,keep,,
trp01232,keep,,
trp01233,keep,,
trp01234,keep,,
trp01235,keep,,
trp01236,keep,,
trp01237,keep,,
trp01238,keep,,
trp01239,keep,,
trp01240,keep,,
trp01241,keep,,
trp01242,keep,,
trp01243,keep,,
trp01244,keep,,
trp01245,keep,,
trp01246,keep,,
trp01247,keep,,
trp01248,keep,,
trp01249,keep,,
trp01250,keep,,
trp01251,keep,,
trp01252,keep,,
trp01253,keep,,
trp01254,keep,,
trp01255,keep,,
trp01256,keep,,
trp01257,keep,,
trp01258,keep,,
trp01259,keep,,
trp01260,keep,,
trp01261,keep,,
trp01262,keep,,
trp01263,keep,,
trp01264,keep,,
trp01265,keep,,
trp01266,keep,,
trp01267,keep,,
trp01268,keep,,
trp01269,keep,,
trp01270,keep,,
trp01271,keep,,
trp01272,keep,,
trp01273,keep,,
trp01274,keep,,
trp01275,keep,,
trp01276,keep,,
trp01277,keep,,
trp01278,keep,,
trp01279,keep,,
trp01280,keep,,
trp01281,keep,,
trp01282,keep,,
trp01283,keep,,
trp01284,keep,,
trp01285,keep,,
trp01286,keep,,
trp01287,keep,,
trp01288,keep,,
trp01289,keep,,
trp01290,keep,,
trp01291,keep,,
trp01292,keep,,
trp01293,keep,,
trp01294,keep,,
